LIMIT_BAL,AGE,SEX,EDUCATION,MARRIAGE,UTILIZATION_RATE,PAY_DELAY_MONTHS,default
159730.37,39,1,2,1,0.0034446655718136,1,0
207301.51,46,1,3,1,0.6173865884946264,2,1
196878.51,47,1,2,1,0.4098893126206483,2,0
147488.09,21,1,2,2,0.4637275968912094,3,1
43563.3,44,2,3,1,0.210570978316686,1,0
265732.93,63,2,1,2,0.0235543872766853,1,0
147720.7,53,1,1,3,0.1684932326160685,0,0
175041.58,56,1,1,1,0.432600285379201,1,1
175054.71,32,1,1,3,0.3566519635944277,2,1
97077.97,63,1,1,1,0.4742942904887471,2,1
122320.59,28,2,2,1,0.2788399685061738,0,0
110373.83,24,1,2,3,0.2191362916732497,0,0
199134.16,51,2,1,1,0.2814896396649921,0,0
186119.07,21,2,2,3,0.3102130388906862,0,1
171203.34,46,2,2,2,0.2973336407764751,0,1
164982.38,51,1,1,1,0.2905273079126838,0,1
106980.75,39,1,2,3,0.3404332333709539,2,1
167057.6,45,1,2,3,0.5579843194350199,0,1
153857.82,40,1,1,1,0.2552552701282543,1,0
192290.14,23,1,2,2,0.2409875599198267,2,0
80535.06,21,1,2,1,0.399965144897114,0,0
113453.5,34,1,1,1,0.1636176144573306,1,0
105946.58,59,2,2,2,0.4992149330394259,1,1
204099.24,55,2,2,3,0.1886016153000288,2,1
108402.25,63,2,1,2,0.0678958937402129,1,1
180336.15,64,2,1,1,0.3371162378517857,3,0
185877.11,46,2,3,1,0.2284313846459734,2,1
82643.69,30,2,2,2,0.2071710151245532,2,0
186083.6,30,1,3,1,0.2532577214178077,3,1
237368.16,30,1,1,2,0.2933037946408315,1,1
146979.81,38,1,1,2,0.2737238570074369,3,1
166159.27,58,1,1,3,0.7140610557345605,1,1
232810.41,38,1,2,1,0.6247112194166274,3,1
129817.58,66,1,2,1,0.2535034946523131,0,0
108888.98,57,2,2,1,0.569640293708486,0,0
121043.79,58,2,2,3,0.2928086804512538,2,1
69205.66,31,2,2,1,0.4201676243918334,1,1
89449.19,31,1,1,1,0.3159797249916956,0,1
129028.26,67,1,1,1,0.4722587798404571,2,1
180105.92,62,2,3,3,0.3923017169318462,3,1
113586.39,62,2,3,2,0.1973975255019378,0,1
205864.79,37,1,3,2,0.2999456200154395,0,0
134738.76,45,1,2,2,0.1541719648847173,0,0
96407.14,23,2,2,2,0.2090797963770435,2,1
194647.69,45,1,1,2,0.0913847951959981,1,0
111835.69,65,1,2,2,0.154085499309046,0,0
191924.54,33,1,2,3,0.3201406072580163,1,0
20000.0,27,2,2,2,0.4333118089532469,2,0
240670.38,44,2,3,2,0.061505361647665,3,0
20000.0,41,1,1,1,0.1147780138873812,1,0
104093.65,59,2,3,1,0.3158622085301614,0,0
151050.19,29,2,1,2,0.2813983668684273,1,0
161692.4,33,1,1,1,0.2692023715333432,0,1
94673.7,26,1,3,1,0.0379340798349198,0,1
148062.86,49,1,2,1,0.0436535704423717,1,0
126291.09,22,1,1,3,0.1655471719256774,1,0
218785.34,22,2,2,2,0.151276601159229,0,0
135792.25,57,2,1,2,0.2373121058289093,0,1
150114.4,68,1,3,1,0.0929353657641518,1,0
169480.23,24,1,1,1,0.2204899528356552,3,1
257113.52,56,2,2,2,0.1209885890550905,1,0
144259.89,43,2,1,3,0.7246720156747759,1,1
216432.04,24,1,1,1,0.1290099812098113,1,0
167417.09,66,2,2,3,0.2904708408703781,1,1
155287.69,32,1,3,1,0.6191178566684039,0,1
196895.78,47,1,2,1,0.3081671719229535,0,0
111269.25,53,1,1,1,0.1702209711124624,0,0
114993.96,33,1,3,2,0.1800119765218946,0,0
148748.65,37,1,3,2,0.2676012160719248,1,0
63439.93,39,2,1,2,0.1326742659007589,3,1
177444.19,49,1,2,1,0.1695551329681205,2,0
185570.53,30,2,4,2,0.0658785378660397,1,0
199915.54,24,2,1,1,0.2762586651325046,0,0
118355.99,35,2,2,2,0.2577744617188975,2,1
205276.3,53,2,2,2,0.3575761740410064,1,1
83069.71,68,1,2,2,0.1945522460463248,1,1
210026.58,36,2,2,2,0.3426913364128368,1,1
86991.76,31,1,2,1,0.2125461012776426,1,0
141487.09,24,1,2,3,0.2693923656695732,2,1
159125.05,50,2,2,2,0.3988200387584762,0,1
164828.85,34,1,3,1,0.3122188904918535,2,1
174600.94,39,1,1,2,0.2687292572384651,0,0
166202.85,61,1,2,2,0.2244657790802098,2,0
152278.19,38,1,1,1,0.2640941593360543,0,1
161780.73,65,2,1,2,0.229886248920035,1,0
68622.88,46,1,2,2,0.2302540486319454,0,1
156994.36,48,1,1,2,0.1552356073853353,1,0
140924.84,51,1,3,1,0.3047440969172252,1,1
209383.97,30,1,2,3,0.0926728326743497,0,0
211804.66,48,1,1,2,0.2024386576852031,0,0
116112.75,57,1,3,1,0.5348625507277043,2,1
43370.22,57,2,1,1,0.3124782781272963,1,1
185415.19,59,1,2,2,0.4488337824602029,0,1
69616.95,64,1,2,3,0.2977653767053793,1,1
174820.01,36,2,1,2,0.4509533305035604,3,0
152029.58,59,1,1,1,0.3491482272099294,3,1
158667.08,33,1,3,1,0.1261264751420311,2,1
163522.84,38,1,3,3,0.2602122233422084,1,0
231592.84,63,1,1,2,0.3676929519450017,1,0
181275.4,32,1,2,2,0.2699238919437726,1,1
93469.23,29,1,3,3,0.170440833220703,1,0
210597.2,36,2,4,2,0.0451885218370972,2,0
164059.57,31,2,1,1,0.1297511137776592,1,0
81708.79,59,1,2,1,0.0497670685205667,2,1
116253.3,38,1,2,3,0.4032136759696857,3,1
107082.11,42,1,1,1,0.0285632714317469,2,1
100519.76,48,2,1,1,0.1671359791314106,1,1
177594.3,55,2,1,3,0.4162922910167777,1,0
172460.94,36,2,2,1,0.2879206324465537,0,0
219072.7,46,1,2,2,0.2526802831688118,2,1
62063.03,61,2,1,1,0.1826566462272321,2,1
170671.75,53,1,2,2,0.0888036479847394,1,1
121721.18,27,1,1,1,0.180402875452888,1,1
155663.52,60,1,3,1,0.1456867104233596,2,0
99305.2,61,1,2,1,0.4445133943522034,1,0
150168.78,32,1,2,2,0.1025257587494104,3,1
152597.29,68,1,1,3,0.3623894196535201,2,1
187312.68,28,1,1,1,0.2893179832192213,0,0
225199.65,41,1,2,1,0.2442244352570317,2,1
184102.6,56,2,2,2,0.5364675960854522,3,1
120505.26,48,1,1,2,0.1774485171194141,2,1
194070.38,57,1,4,2,0.3038854377089355,1,0
102222.98,38,1,2,2,0.027742800911876,1,0
182556.81,40,2,4,1,0.2247038450415899,2,0
192338.54,49,2,2,2,0.3466934990009668,3,1
126526.28,58,1,2,2,0.5038872272109552,0,1
100082.3,41,1,1,2,0.3998277463552276,2,1
199828.53,32,1,2,2,0.2578269648982437,0,0
120421.43,39,1,2,2,0.5288335227370053,1,0
141282.29,35,1,3,3,0.4181781819806934,1,0
248627.11,24,1,2,1,0.1168584799856764,0,0
194509.92,55,2,3,1,0.1444775636652963,0,0
197835.12,58,2,1,2,0.2774870221260205,1,0
194202.27,50,2,1,1,0.2521381314731996,1,0
164277.7,58,1,3,1,0.3857252274140625,2,0
150900.84,25,1,1,1,0.4689186983365049,0,1
92851.49,67,2,2,1,0.1951863236592688,2,1
56241.38,52,1,1,2,0.1621955402321881,1,1
194767.77,25,2,3,3,0.1552018989009789,1,0
146790.79,38,2,3,1,0.1429832566892434,0,0
187875.39,63,2,2,2,0.5483128519984118,2,1
188543.26,24,1,1,1,0.4203708704137278,1,0
99595.68,54,1,1,2,0.440775000871965,1,1
122345.51,31,1,1,1,0.3647862224020567,0,0
96007.88,52,2,2,2,0.2981912551386287,1,1
114897.35,66,1,3,1,0.1322667691480136,0,0
134609.58,30,1,2,1,0.4001757266208272,2,1
137925.13,69,2,2,1,0.3187471570400831,1,0
160363.37,68,2,2,2,0.438420468223475,2,1
204152.56,57,1,3,2,0.1936483738478161,1,1
63754.11,42,2,2,2,0.0376621611450019,1,1
224871.58,54,2,2,2,0.493129955192512,2,1
144325.97,66,2,2,2,0.2087971151147086,1,1
109585.09,30,2,2,1,0.110682841493603,1,1
188371.74,51,1,2,1,0.3909277172423462,1,1
113031.43,32,1,3,1,0.2549633158355335,1,0
151972.35,63,1,1,2,0.4371000494443312,1,1
215273.94,27,1,1,1,0.5253704699917969,2,1
83590.7,33,1,2,1,0.2991473523712901,1,0
179737.72,44,1,2,2,0.1514689653326574,2,0
139296.62,57,2,2,1,0.1983234377924989,1,0
116611.02,39,1,3,1,0.2371474451738684,1,0
103006.01,32,1,2,1,0.4151782645823172,0,0
87806.84,63,2,1,2,0.1146786210288528,1,1
116494.24,69,2,1,2,0.0996427004912318,0,0
59843.02,54,2,3,1,0.1130350339878409,1,0
102142.45,58,1,1,1,0.1250068098775573,1,1
145352.79,34,1,1,2,0.1172953012650305,1,0
180159.37,40,1,2,2,0.5489036230287471,1,1
247417.13,33,1,2,1,0.0358238759411536,3,1
137060.2,52,1,1,1,0.296693613838034,1,0
189583.13,57,2,2,1,0.1717937864750394,1,0
229529.1,24,1,2,1,0.4793108747716986,0,0
193023.67,68,1,3,1,0.2823529642476745,2,0
145513.22,52,1,1,2,0.0205265936821652,2,0
98146.7,62,1,2,1,0.1965467372550763,0,1
177652.0,45,2,1,1,0.2730851888309902,3,0
151225.51,28,1,4,1,0.4633386800149007,3,1
120376.79,57,1,2,2,0.5186433659586747,1,1
155751.3,27,1,1,1,0.2517201293144199,3,1
100356.7,32,1,3,3,0.3934234888147753,2,1
51574.79,30,2,3,2,0.1042966937372969,3,1
125404.88,62,2,3,1,0.1687991426021565,0,1
114749.41,52,2,1,2,0.1627266177862762,2,1
186095.17,46,2,1,2,0.1136521329219396,1,0
107752.93,34,2,3,1,0.268970395664447,3,1
165262.16,47,2,2,1,0.2185383355692189,0,1
42355.47,26,1,3,1,0.7639448592579622,1,0
218642.42,45,2,2,3,0.3531982784163333,3,1
138717.18,60,2,2,1,0.0980253364194086,2,0
201815.14,65,1,1,1,0.2696503759699293,1,1
60681.23,42,1,1,2,0.1729131921511865,0,1
87074.75,47,2,4,1,0.2264765727340824,0,1
157244.39,26,1,1,2,0.0471783097453175,0,0
219317.47,21,2,2,2,0.1078542134775895,0,0
65632.78,56,1,1,3,0.0585921986704507,3,1
144519.51,66,2,1,3,0.4465003104134689,1,1
137497.67,45,1,3,2,0.5809508153143886,2,1
231917.99,54,1,1,1,0.2668565842722624,4,0
122440.71,56,2,1,1,0.405596902159591,0,1
147211.55,55,2,2,2,0.3080029010521766,0,1
176326.83,55,1,1,1,0.508689326014069,1,1
106800.46,32,1,2,2,0.2082457846776952,1,0
162877.52,49,1,1,1,0.3823553402259325,1,1
209429.84,49,2,2,2,0.2704500137145812,0,1
100080.73,55,1,3,1,0.3551211675710082,2,1
164609.64,67,1,2,2,0.2502800738418353,5,1
139201.97,46,1,1,2,0.4072010118606314,1,0
158432.73,62,2,2,1,0.4873738560958899,3,1
112875.79,34,2,3,1,0.552052784406938,1,0
194481.54,39,1,2,3,0.3823347483030818,0,0
150696.46,54,1,3,1,0.1027330408579326,1,0
191095.13,27,1,1,1,0.3331033924765882,3,0
231458.32,32,1,2,1,0.1725289444159371,0,0
193641.22,31,1,1,1,0.2646032845102479,0,0
214204.79,21,2,2,1,0.3250782735023841,0,1
108232.65,59,1,1,2,0.375511819697802,2,1
84389.04,51,1,3,2,0.1910746269347934,0,0
158885.05,31,2,3,2,0.0430291853896383,4,0
164862.21,69,1,4,1,0.1899528721938674,1,1
209636.76,29,1,2,2,0.3274582456464238,1,0
181281.55,36,1,2,1,0.4135325728877674,0,1
256651.67,41,1,2,2,0.0738717903694755,1,0
210948.54,48,1,3,1,0.2548596027075364,2,1
215509.6,23,1,1,3,0.1468105994682086,2,0
173333.55,29,1,1,2,0.3386847417825678,0,0
98004.7,69,1,2,3,0.4366694426094643,0,1
71455.93,49,1,3,1,0.421495566745162,3,1
131752.36,21,2,1,2,0.4851083394421296,2,1
182268.8,57,2,1,2,0.0688358030411426,0,1
117622.91,25,2,2,2,0.1139032741293247,3,1
233495.23,58,1,1,2,0.2216970399514422,1,1
165055.37,61,1,4,2,0.3608807991803229,2,1
100941.72,69,1,2,2,0.4181442097792238,3,1
242331.85,30,2,2,2,0.0973551801634646,2,0
157346.76,30,1,2,2,0.0327523706247394,3,1
235205.28,39,2,1,1,0.0599567638960274,3,0
136159.34,56,1,3,2,0.0579784291432286,0,1
112286.21,36,1,2,1,0.1362916806447929,5,1
161114.49,65,2,1,2,0.2910601859323093,2,0
210060.7,47,2,1,1,0.4291108176239456,0,0
149049.19,45,1,2,1,0.3703633264237894,1,0
64343.27,50,2,1,1,0.3402035633729821,0,1
87243.23,51,1,3,1,0.0738252026878718,0,0
113011.44,46,1,2,1,0.2068974804893457,1,1
66924.0,21,1,4,1,0.2677448189903695,1,0
153842.59,62,1,1,1,0.4512768790234217,1,0
156133.52,63,2,3,2,0.3284486352117388,3,1
45676.12,33,1,1,1,0.3033004738718369,0,1
68025.79,30,1,3,3,0.1369080959221169,3,0
147130.46,63,1,3,1,0.2599224968146429,0,1
207322.04,22,2,2,1,0.0359710745701243,2,0
217781.89,28,1,1,1,0.2755215140557873,0,1
173651.91,57,2,1,1,0.2273170218018424,1,0
133274.94,31,1,3,1,0.1726459273588844,0,0
86955.8,56,2,3,1,0.3378920092294442,1,1
45794.35,44,2,2,2,0.3874434191743126,0,1
135252.52,32,2,1,1,0.7052475586375019,0,1
205291.65,47,1,2,1,0.0849554484227328,3,0
312154.65,66,1,1,2,0.6389717541085955,1,1
174595.96,34,1,2,2,0.1612951237848304,1,0
184642.79,53,1,2,2,0.1487401857470463,1,1
231233.92,62,1,1,2,0.4426579250679116,2,0
61063.99,40,1,1,2,0.4279971319562846,2,1
125788.3,62,1,3,2,0.5786316203060736,1,1
142795.62,55,1,3,1,0.3246983116637839,2,1
115947.42,34,2,2,1,0.4055265226854529,0,1
163062.53,62,2,2,1,0.606255276056334,0,1
102121.55,57,1,3,2,0.3127720278706403,2,0
175436.25,24,1,1,2,0.2721146259623264,0,0
187041.22,34,1,4,2,0.2895176373258981,1,1
121787.62,23,1,2,1,0.1314063692491804,3,1
206302.51,45,1,2,2,0.4351484469050766,2,1
187106.37,53,1,1,1,0.5086240705006667,2,1
121922.11,40,1,1,1,0.6472328746995509,2,0
217023.05,55,2,3,2,0.328016067926526,1,1
182384.43,24,1,1,2,0.3585303558420993,0,1
190894.48,63,1,1,2,0.1972995167118193,1,0
190356.13,37,2,1,2,0.1927901283965856,1,1
84209.21,41,1,3,2,0.1244378408102953,0,0
174560.38,64,2,1,2,0.3733882179286282,1,1
92682.73,46,1,1,2,0.1285006414974932,1,1
188918.05,66,1,2,2,0.3344223038759203,2,1
92849.03,41,1,2,2,0.1209361381521365,0,0
188946.83,34,1,1,2,0.5678407399824943,2,1
138924.34,63,1,2,2,0.0648888726247021,2,0
157904.46,24,1,4,1,0.2877876733030404,1,1
145226.79,51,2,3,1,0.2741939070380619,1,1
189495.99,21,2,3,2,0.4497033852768073,4,1
172097.03,29,1,2,2,0.424187451811919,0,1
215087.06,62,1,4,2,0.35662496008689,1,0
127442.06,59,1,4,2,0.2895741047383698,0,0
138053.4,23,1,1,2,0.4538214321148581,0,0
137546.41,29,2,3,2,0.2532353183871558,3,0
117499.87,21,1,2,2,0.2771758689771601,4,1
191973.43,34,1,2,1,0.0230417691576422,3,1
161373.0,46,1,3,1,0.0801273628850458,2,1
140842.48,65,1,1,2,0.3022507534537678,2,1
110761.9,45,1,2,1,0.1286311030280663,0,0
95697.27,23,1,3,1,0.3762070331511735,2,0
136051.85,27,1,2,2,0.2181918535910702,0,0
138214.44,30,1,3,1,0.3039251942698721,1,0
167572.41,47,2,2,2,0.0917822904296055,0,0
172675.44,60,1,2,3,0.210872424938695,0,0
123201.83,58,1,1,3,0.24827573277764,2,1
193822.78,54,1,2,2,0.2861290936975643,0,0
181666.34,45,1,2,1,0.300732769154058,2,1
178488.02,61,1,2,1,0.328295729300697,2,0
161288.08,64,1,1,2,0.197041565098865,1,0
51035.01,68,2,1,1,0.1246601176979389,1,0
211346.66,30,2,3,1,0.4075549181285171,1,0
161535.05,68,1,2,1,0.1996815558518753,1,0
175154.52,42,1,1,2,0.4036128157731679,0,0
156278.82,30,1,2,3,0.344522516102569,1,0
151065.58,54,1,4,2,0.4203303489414801,0,0
93625.2,60,2,1,2,0.4774769335969288,0,0
180300.5,25,2,1,2,0.2058349957769219,0,0
182522.5,59,2,3,1,0.1161611507337768,0,0
125349.95,57,1,2,1,0.0308075731185642,0,1
104621.82,53,1,1,2,0.0600941409314757,2,1
167780.67,33,1,4,1,0.3242192078424722,1,0
204575.34,24,1,1,1,0.2408358961878947,1,0
224746.91,39,1,2,1,0.4575491098438654,1,1
140254.59,52,1,4,2,0.0579195810810664,2,1
147653.97,33,2,2,1,0.3031707163134358,1,0
234786.14,35,2,1,2,0.3454252891978468,2,0
201529.03,24,1,1,2,0.1136792003615442,3,0
231789.89,60,1,2,2,0.2444700687291768,2,0
120030.37,42,2,1,2,0.1363489896907059,1,1
163951.08,64,1,1,1,0.2842586916200997,3,0
104814.91,37,2,3,2,0.2516814433593765,2,1
169620.8,27,2,3,1,0.4605529808158423,1,0
162658.26,42,2,3,2,0.5830265072787735,1,1
242775.17,24,1,1,2,0.2640711262426873,2,1
143573.12,27,1,1,2,0.1512457398863188,4,1
135415.31,54,1,1,2,0.1752781872138589,2,1
117653.16,40,2,3,2,0.2889248968822442,1,1
149984.32,25,2,2,1,0.5520477419868367,1,1
184847.72,32,1,1,1,0.3920985332281985,0,0
181476.48,22,2,2,2,0.1280317934241039,0,0
85471.93,62,2,3,1,0.1817204303658048,3,1
128013.45,60,2,2,2,0.0880062323781738,1,0
153223.72,26,2,1,3,0.3965920485588327,0,0
148265.76,61,2,2,2,0.1530232465982207,1,1
171415.35,63,2,2,3,0.2342155038241477,1,0
179318.2,47,1,1,2,0.4109320081358474,0,0
204088.34,53,1,3,2,0.4705939833132617,0,1
154305.54,58,1,1,3,0.3901706389934392,2,1
153634.03,27,1,2,1,0.3958743990407198,5,1
137846.94,22,1,3,2,0.2074075573588887,4,1
119606.24,31,2,1,3,0.3944107237662995,3,1
120997.34,21,2,2,1,0.5360342116908208,3,1
121467.98,36,1,3,1,0.2321749781921345,0,1
182510.06,48,2,1,3,0.3399596022777578,1,1
125418.19,21,1,1,3,0.2866852388947348,1,1
76070.69,29,2,2,1,0.4951835334746809,0,0
271335.82,52,1,3,3,0.1966701692547943,1,1
213883.84,30,1,2,1,0.295392140432968,1,1
122585.64,23,1,3,2,0.3163366080669357,0,1
158400.77,56,1,1,1,0.2702680847888766,0,0
139820.98,43,1,3,2,0.0386003155628994,1,1
208964.86,44,1,1,2,0.3092117077539195,0,1
123706.02,43,1,3,2,0.0667647006394876,0,1
163867.92,67,2,1,2,0.1880979868115992,1,1
137680.83,33,1,1,1,0.206379692289778,2,0
207695.04,66,1,4,1,0.2314059283418674,3,1
136617.95,60,2,1,2,0.2385472889659712,1,1
154668.62,22,2,2,1,0.2238665378669216,0,1
62573.4,40,1,2,2,0.3906642868134846,0,1
98072.81,43,2,1,3,0.400268246155478,0,0
146088.47,44,2,1,1,0.0440844281262107,1,0
186842.19,55,1,2,2,0.108531527288883,4,1
138473.77,57,1,1,3,0.1830467437474029,0,0
134062.58,62,2,1,2,0.6161424490014125,1,1
156160.24,33,1,2,2,0.1546730126024182,0,0
101061.81,59,2,3,1,0.573876471338226,0,1
216271.61,51,1,2,3,0.1535530621037386,3,0
144782.86,52,1,1,2,0.0341071835327867,3,1
209094.55,56,1,1,1,0.1044142806448419,0,0
143710.65,55,2,1,1,0.1275595020434876,0,1
37655.53,51,1,2,2,0.3683260079104171,0,1
151123.29,50,1,2,1,0.370300217116312,1,0
125121.38,57,1,1,1,0.0953252751014383,1,1
96609.85,42,1,1,1,0.654150063677579,0,1
25336.46,27,1,4,1,0.1530704413814633,2,0
132166.34,66,1,1,2,0.137936948264134,1,1
162197.66,39,2,3,2,0.129482984499993,1,1
136855.46,24,1,3,2,0.0281212765837169,0,0
183313.48,40,1,4,2,0.2758923881862956,2,0
160564.18,64,1,2,1,0.1413681302355705,0,0
163293.91,43,1,1,2,0.1978949145242932,3,1
71787.92,39,2,2,1,0.1492721662292839,1,1
177354.87,24,1,1,2,0.3003633385607376,2,1
93496.53,37,2,2,2,0.3075206774989803,2,1
164711.21,58,1,2,1,0.3780980445377542,1,0
186056.77,61,1,1,2,0.5645416204538902,1,0
108452.49,40,1,1,2,0.1703970421430685,0,0
156405.22,36,2,3,2,0.3686542365961339,1,1
90959.36,51,1,1,2,0.0178081485343124,1,0
195688.58,24,1,3,2,0.2559172972848984,1,1
141346.41,55,1,2,2,0.4099683102489926,1,1
209594.97,67,1,2,2,0.2861677806706025,3,0
245701.57,45,1,2,3,0.5207605775088151,2,1
183946.56,40,2,2,1,0.127365916161327,2,1
87174.66,56,2,3,2,0.2182243792018769,3,1
179334.69,21,1,1,3,0.2595767718721519,0,0
137573.57,45,1,1,2,0.2519526923412418,1,1
127384.68,53,2,2,2,0.6736497645418057,1,1
135598.06,21,2,3,2,0.0639635578521009,2,0
174462.73,36,2,4,2,0.0890453229615165,3,0
118120.62,41,1,2,1,0.2830547918918565,0,0
198890.78,49,2,2,2,0.0365975750926718,1,0
192922.56,45,1,3,1,0.1359650116554808,2,1
106278.22,55,2,3,2,0.1659609447042499,1,1
121218.11,22,2,3,3,0.0738309641782121,0,1
102178.18,35,2,3,1,0.260034222491986,2,1
143393.17,63,2,1,1,0.2764842162941509,0,1
144777.54,34,1,1,1,0.1046328698330898,2,0
178039.23,56,1,3,1,0.1415740013016498,0,0
159524.98,24,1,2,1,0.3738745228901756,4,1
156100.49,50,2,1,1,0.1432862182998745,1,1
148264.41,35,1,3,1,0.3646448009270705,0,0
106979.33,49,1,1,1,0.2750869389485715,2,0
111411.4,57,1,4,1,0.1757999151351846,1,1
201075.77,57,1,3,1,0.1674319853145112,1,0
210418.31,22,2,1,1,0.6731422819684382,4,1
118362.25,68,1,1,1,0.3943593508224575,0,0
132457.53,61,2,2,1,0.1183248457621764,2,1
