order_id,order_date,ship_date,customer_id,segment,region,city,channel,payment_method,product_id,category,subcategory,product_name,quantity,unit_price,discount_pct,sales,cost,profit
ORDNR1FAMZF,2025-03-17,2025-03-21,C7K9YMWJ,Corporate,Nova Scotia,Sydney,In-Store,Debit,1014,Technology,Phones,Phones Item 15,5,652.03,0.0,3260.16,2021.3,1238.86
ORD35FU90UU,2025-04-14,2025-04-19,CENL2OJW,Consumer,Ontario,Ottawa,In-Store,Gift Card,1007,Technology,Phones,Phones Item 8,6,255.81,0.15,1304.64,951.62,353.02
ORDV868TRYD,2025-02-25,2025-03-04,CY58WUQB,Corporate,Quebec,Laval,Wholesale,Debit,1180,Furniture,Furnishings,Furnishings Item 1,3,193.23,0.2,463.74,318.82,144.92
ORDV06YNSFF,2025-05-11,2025-05-17,C3IA920U,Corporate,Ontario,Kitchener,In-Store,Gift Card,1153,Furniture,Tables,Tables Item 4,6,828.56,0.3,3479.96,2734.25,745.71
ORDV37DSIXV,2024-07-16,2024-07-19,CC3X3VAN,Consumer,Prince Edward Island,Summerside,In-Store,Credit Card,1171,Furniture,Bookcases,Bookcases Item 7,6,689.67,0.0,4138.01,2275.91,1862.1
ORD7QX4F4ME,2023-05-21,2023-05-27,C6W48ZQL,Consumer,Nova Scotia,Halifax,Online,Debit,1151,Furniture,Tables,Tables Item 2,6,626.43,0.1,3382.73,2067.22,1315.51
ORDAUACB1CL,2025-07-09,2025-07-09,C1DDNTI1,Consumer,British Columbia,Victoria,Online,Debit,1163,Furniture,Tables,Tables Item 14,1,249.6,0.0,249.6,137.28,112.32
ORDO23V7WY5,2024-05-08,2024-05-14,CTQRSVNF,Consumer,Ontario,Kitchener,Online,Debit,1194,Furniture,Furnishings,Furnishings Item 15,1,475.7,0.1,428.13,261.63,166.5
ORDPGXTPBZ1,2024-07-02,2024-07-05,CUPQIPNH,Corporate,Ontario,Brampton,In-Store,PayPal,1097,Office Supplies,Storage,Storage Item 8,4,19.88,,71.58,35.79,35.79
ORDAN0E3K55,2024-02-11,2024-02-17,CKWNJPC2,Consumer,Quebec,Longueuil,Online,Debit,1103,Office Supplies,Storage,Storage Item 14,2,71.08,0.05,135.05,63.97,71.08
ORD8ESAHXSS,2023-07-20,2023-07-27,CXONFK8P,Consumer,Ontario,Ottawa,Online,Credit Card,1014,Technology,Phones,Phones Item 15,3,692.7,0.0,2078.1,1288.42,789.68
ORDTSRADS3T,2025-10-12,2025-10-17,CZKQA67G,Home Office,Ontario,Mississauga,In-Store,Debit,1185,Furniture,Furnishings,Furnishings Item 6,2,610.9,0.15,1038.53,671.99,366.54
ORDPNE4PAG9,2025-05-06,2025-05-13,CVPE5MYT,Consumer,British Columbia,Victoria,Online,Credit Card,1034,Technology,Computers,Computers Item 5,2,391.97,0.2,627.15,486.04,141.11
ORD1OBDOP0P,2024-12-06,2024-12-06,CBBTUATA,Home Office,British Columbia,Victoria,In-Store,Credit Card,1126,Office Supplies,Labels,Labels Item 7,2,97.71,0.0,195.42,87.94,107.48
ORDNI8Y30D6,2024-03-17,2024-03-18,CU8C7IS3,Corporate,Nova Scotia,Sydney,Online,Debit,1055,Technology,Copiers,Copiers Item 11,6,598.44,0.1,3231.56,2226.18,1005.38
ORDQ4L59S6H,2025-06-20,2025-06-25,CS43OI77,Corporate,Quebec,Montreal,Online,Credit Card,1129,Office Supplies,Labels,Labels Item 10,4,70.28,0.0,281.11,126.5,154.61
ORD1RHB17GV,2024-08-20,2024-08-24,CS4K221I,Consumer,Ontario,Ottawa,Online,Debit,1187,Furniture,Furnishings,Furnishings Item 8,4,355.6,0.0,1422.4,782.32,640.08
ORDP5HGJF0A,2024-04-30,2024-04-30,CFALJKOC,Home Office,Quebec,Gatineau,In-Store,Credit Card,1133,Office Supplies,Labels,Labels Item 14,6,55.45,0.0,332.7,149.72,182.98
ORDMSY1S63P,2024-05-08,2024-05-13,CUGQ130X,Home Office,Ontario,Toronto,Online,PayPal,1180,Furniture,Furnishings,Furnishings Item 1,6,194.23,0.0,1165.41,640.97,524.44
ORDNU0IBJRR,2023-09-07,2023-09-07,CZSNXMA4,Corporate,British Columbia,Victoria,Online,Credit Card,1055,Technology,Copiers,Copiers Item 11,6,570.68,0.0,3424.07,2122.92,1301.15
ORDR7RKZA2S,2023-04-11,2023-04-18,CQOCVM11,Corporate,Alberta,Lethbridge,In-Store,Credit Card,1108,Office Supplies,Art,Art Item 4,6,40.73,0.0,244.4,109.98,134.42
ORDRSADQN0H,2024-08-30,2024-08-31,CCR8AC12,Consumer,Ontario,Kitchener,Online,Credit Card,1135,Furniture,Chairs,Chairs Item 1,2,121.71,0.1,219.08,133.88,85.2
ORDKVR5JYD1,2025-08-31,2025-09-03,CKPEFO21,Consumer,Ontario,Windsor,Online,Debit,1085,Office Supplies,Binders,Binders Item 11,1,117.24,0.2,93.79,52.76,41.03
ORDB11ABSJK,2023-03-11,2023-03-17,CO9CAIMR,Home Office,Saskatchewan,Saskatoon,Online,Credit Card,1067,Office Supplies,Paper,Paper Item 8,3,8.29,0.0,24.88,11.2,13.68
ORDWZP3WHE7,2025-07-29,2025-08-02,C0G41BVA,Consumer,Quebec,Longueuil,In-Store,Credit Card,1130,Office Supplies,Labels,Labels Item 11,3,56.75,0.0,170.26,76.62,93.64
ORDC682Z6RA,2025-06-26,2025-07-01,C5GI6TRB,Consumer,Quebec,Quebec City,In-Store,Credit Card,1161,Furniture,Tables,Tables Item 12,5,791.22,0.0,3956.08,2175.84,1780.24
ORDZKMD79PO,2023-10-31,2023-11-05,CDIWR4G6,Consumer,Alberta,Calgary,Online,Credit Card,1083,Office Supplies,Binders,Binders Item 9,1,8.63,0.05,8.2,3.88,4.32
ORDR79UM4AI,2024-11-23,2024-11-30,CZLKVIG7,Corporate,Quebec,Quebec City,In-Store,PayPal,1042,Technology,Computers,Computers Item 13,5,1058.06,0.0,5290.3,3279.99,2010.31
ORDXE2EJ00P,2023-07-01,2023-07-04,COCBPPJX,Corporate,Ontario,Kitchener,Online,Debit,1013,Technology,Phones,Phones Item 14,5,932.87,0.0,4664.34,2891.89,1772.45
ORDNJY06JV5,2025-04-10,2025-04-17,C8W694TZ,Corporate,Manitoba,Brandon,Online,Credit Card,1096,Office Supplies,Storage,Storage Item 7,6,78.18,0.0,469.1,211.09,258.01
ORDZC4L3KC6,2025-02-06,2025-02-10,CGASL2PC,Consumer,Nova Scotia,Sydney,Online,Credit Card,1033,Technology,Computers,Computers Item 4,4,821.47,0.0,3285.88,2037.25,1248.63
ORDTQ9W05Z0,2024-01-24,2024-01-31,CO5CPOAM,Consumer,Ontario,Ottawa,In-Store,Debit,1173,Furniture,Bookcases,Bookcases Item 9,1,102.14,0.0,102.14,56.18,45.96
ORDJOFP3600,2023-03-16,2023-03-21,CCDT5A0T,Consumer,Ontario,Hamilton,In-Store,PayPal,1066,Office Supplies,Paper,Paper Item 7,5,67.11,0.0,335.57,151.01,184.56
ORDJD608GI3,2025-11-29,2025-11-30,CNW76NUD,Home Office,Alberta,Red Deer,In-Store,Credit Card,1190,Furniture,Furnishings,Furnishings Item 11,1,922.18,0.25,691.64,507.2,184.44
ORDMUMYAWQL,2024-05-03,2024-05-08,C91TA3Y3,Consumer,British Columbia,Burnaby,Online,PayPal,1094,Office Supplies,Storage,Storage Item 5,2,94.14,0.0,188.28,84.73,103.55
ORDM6V8HXDH,2025-09-05,2025-09-12,C1DI4N2N,Home Office,Quebec,Quebec City,In-Store,Credit Card,1144,Furniture,Chairs,Chairs Item 10,5,396.34,0.05,1882.6,1089.93,792.67
ORDWMXAOQZ3,2025-01-12,2025-01-13,CCJFVQ90,Consumer,Quebec,Montreal,Online,Credit Card,1007,Technology,Phones,Phones Item 8,3,244.24,0.1,659.45,454.29,205.16
ORDPXQKHACK,2025-05-03,2025-05-09,C5YGZ1MC,Home Office,Alberta,Edmonton,Online,PayPal,1133,Office Supplies,Labels,Labels Item 14,5,47.65,0.0,238.25,107.21,131.04
ORDNCQ077II,2025-04-12,2025-04-12,CPUS5LNL,Consumer,Quebec,Longueuil,In-Store,Debit,1047,Technology,Copiers,Copiers Item 3,5,144.83,0.05,687.93,448.96,238.97
ORDZLCWYD6Z,2023-08-02,2023-08-08,CMKZROF8,Corporate,Ontario,Brampton,Wholesale,Credit Card,1030,Technology,Computers,Computers Item 1,5,974.88,0.0,4874.38,3022.12,1852.26
ORDAS09CDOC,2024-02-03,2024-02-09,CLU6O6RF,Corporate,Ontario,Toronto,Wholesale,Gift Card,1033,Technology,Computers,Computers Item 4,3,783.87,0.25,1763.7,1457.99,305.71
ORDFEVSSVOP,2024-05-26,2024-05-27,CGFB9EVY,Corporate,Quebec,Quebec City,In-Store,PayPal,1094,Office Supplies,Storage,Storage Item 5,6,81.77,0.0,490.6,220.77,269.83
ORDLVI3V53F,2024-06-29,2024-07-04,C09LWVU6,Corporate,Nova Scotia,Halifax,In-Store,Bank Transfer,1092,Office Supplies,Storage,Storage Item 3,2,20.96,0.0,41.93,18.87,23.06
ORDNPWDTMXY,2023-02-18,2023-02-18,C74KT5Y9,Consumer,Quebec,Laval,Online,Debit,1016,Technology,Accessories,Accessories Item 2,6,1029.59,0.15,5250.88,3830.06,1420.82
ORD9RRC3GCW,2024-08-22,2024-08-26,CGCH426K,Home Office,Ontario,London,In-Store,Debit,1143,Furniture,Chairs,Chairs Item 9,5,163.91,0.25,614.65,450.74,163.91
ORDXG30X3TL,2023-06-19,2023-06-26,CG1E5YY2,Corporate,Nova Scotia,Halifax,Online,Debit,1146,Furniture,Chairs,Chairs Item 12,4,244.73,,978.92,538.4,440.52
ORD94IIP4AU,2025-03-25,2025-03-26,CN9BCQ4F,Consumer,Quebec,Montreal,Online,Credit Card,1141,Furniture,Chairs,Chairs Item 7,6,176.6,0.05,1006.62,582.78,423.84
ORD9DS6YOBA,2025-01-18,2025-01-19,CLXN9Q86,Consumer,Quebec,Laval,Online,Credit Card,1090,Office Supplies,Storage,Storage Item 1,5,30.15,0.0,150.76,67.84,82.92
ORDTN4PHYNM,2025-10-08,2025-10-11,CJP7LNOU,Consumer,Ontario,Toronto,In-Store,PayPal,1111,Office Supplies,Art,Art Item 7,4,97.46,0.2,311.86,175.42,136.44
ORD6129PJNA,2025-03-27,2025-03-29,CRZOP7Y9,Home Office,Alberta,Red Deer,Online,Credit Card,1125,Office Supplies,Labels,Labels Item 6,3,36.28,0.0,108.85,48.98,59.87
ORD62FPETWV,2024-02-06,2024-02-06,CBILCANA,Corporate,Alberta,Edmonton,In-Store,PayPal,1129,Office Supplies,Labels,Labels Item 10,6,78.88,0.0,473.3,212.99,260.31
ORDWN15G3W4,2025-11-26,2025-11-29,CV4I66N0,Consumer,Alberta,Edmonton,In-Store,Credit Card,1049,Technology,Copiers,Copiers Item 5,6,449.26,0.0,2695.58,1671.26,1024.32
ORDWN12AXIE,2024-03-26,2024-03-28,C8D4U803,Corporate,Ontario,London,Online,Credit Card,1170,Furniture,Bookcases,Bookcases Item 6,6,794.61,0.1,4290.9,2622.22,1668.68
ORDRLGOT3KN,2023-12-24,2023-12-24,C5C8SHG3,Consumer,Quebec,Gatineau,In-Store,Credit Card,1113,Office Supplies,Art,Art Item 9,5,49.02,0.0,245.1,110.3,134.8
ORDJUU5Q2QL,2025-09-19,2025-09-21,C1OJTRCU,Consumer,Ontario,Mississauga,In-Store,Credit Card,1091,Office Supplies,Storage,Storage Item 2,5,81.56,0.05,387.43,183.52,203.91
ORDZH93LLTU,2024-02-11,2024-02-11,CP5FBO46,Corporate,Newfoundland and Labrador,Corner Brook,Online,Credit Card,1015,Technology,Accessories,Accessories Item 1,4,1067.38,0.1,3842.56,2647.09,1195.47
ORDWH4PQMLG,2023-03-25,2023-04-01,CWS0GDJZ,Consumer,Ontario,Hamilton,Online,Credit Card,1104,Office Supplies,Storage,Storage Item 15,6,21.58,0.15,110.06,58.27,51.79
ORDEZPZXBUY,2024-05-29,2024-06-05,CYE1KUW6,Consumer,British Columbia,Burnaby,In-Store,Debit,1031,Technology,Computers,Computers Item 2,3,1007.11,0.1,2719.19,1873.22,845.97
ORD9ZU12GXO,2025-05-22,2025-05-24,C2KWKBZK,Consumer,Alberta,Edmonton,Online,Credit Card,1176,Furniture,Bookcases,Bookcases Item 12,2,431.36,0.0,862.72,474.5,388.22
ORDHRBAPU1C,2023-07-27,2023-08-03,CYRTJP9F,Consumer,Ontario,Ottawa,Online,Credit Card,1098,Office Supplies,Storage,Storage Item 9,6,3.89,0.05,22.19,10.51,11.68
ORDPVV95G1I,2024-05-22,2024-05-25,C893W7WK,Consumer,Quebec,Montreal,In-Store,Credit Card,1132,Office Supplies,Labels,Labels Item 13,3,93.13,0.0,279.39,125.73,153.66
ORDK95EUNNR,2023-05-23,2023-05-30,C3GIVG1B,Consumer,Ontario,Toronto,Online,Credit Card,1063,Office Supplies,Paper,Paper Item 4,5,83.13,0.05,394.89,187.05,207.84
ORD9SH2DKQG,2025-01-22,2025-01-23,CM2RWN8K,Consumer,Quebec,Montreal,Online,PayPal,1171,Furniture,Bookcases,Bookcases Item 7,3,693.42,0.0,2080.26,1144.14,936.12
ORDBMNHSVIZ,2024-06-05,2024-06-07,CGL1QBNB,Home Office,Prince Edward Island,Summerside,Online,PayPal,1043,Technology,Computers,Computers Item 14,4,781.99,0.2,2502.37,1939.33,563.04
ORDARX7SKVR,2023-12-28,2024-01-02,C2QE3W0E,Consumer,Quebec,Montreal,Online,Credit Card,1061,Office Supplies,Paper,Paper Item 2,2,20.08,0.15,34.14,18.07,16.07
ORDZF2E2A02,2023-09-06,2023-09-07,CTP2Z6RH,Home Office,Prince Edward Island,Summerside,Online,Credit Card,1073,Office Supplies,Paper,Paper Item 14,4,116.87,0.05,444.1,210.36,233.74
ORD0VA62FDZ,2024-09-10,2024-09-16,CXU8W05V,Corporate,Ontario,Windsor,Online,Credit Card,1147,Furniture,Chairs,Chairs Item 13,4,226.74,0.05,861.61,498.83,362.78
ORDJPO6VFFY,2025-01-04,2025-01-07,CDTD6YI4,Consumer,Quebec,Quebec City,In-Store,Debit,1112,Office Supplies,Art,Art Item 8,1,71.03,0.05,67.48,31.96,35.52
ORD44SMJJ29,2025-10-27,2025-10-30,C6M2T0TD,Consumer,Nova Scotia,Halifax,In-Store,Credit Card,1048,Technology,Copiers,Copiers Item 4,2,1188.67,0.1,2139.61,1473.95,665.66
ORD9XQWGTMC,2024-04-24,2024-04-27,CP2FW9Z2,Consumer,Saskatchewan,Saskatoon,Online,Debit,1056,Technology,Copiers,Copiers Item 12,4,825.7,0.1,2972.5,2047.72,924.78
ORDF4DIE7US,2023-06-26,2023-07-02,CZKFW2KN,Corporate,Ontario,Brampton,In-Store,Credit Card,1145,Furniture,Chairs,Chairs Item 11,6,236.81,0.15,1207.73,781.47,426.26
ORDPNO6H55F,2025-07-01,2025-07-01,C8IWGZ6P,Corporate,British Columbia,Surrey,Online,Debit,1059,Technology,Copiers,Copiers Item 15,2,1024.2,0.0,2048.4,1270.01,778.39
ORDP9BCBJNS,2024-11-21,2024-11-27,C3AJO3TT,Consumer,Saskatchewan,Saskatoon,Online,Credit Card,1040,Technology,Computers,Computers Item 11,3,302.05,0.0,906.14,561.81,344.33
ORDUDPTDUYC,2025-02-06,2025-02-12,C72HZ1YC,Consumer,Alberta,Red Deer,In-Store,Credit Card,1158,Furniture,Tables,Tables Item 9,2,469.34,0.15,797.88,516.28,281.6
ORDTC93ZTM3,2023-04-17,2023-04-23,CXVZTQ0A,Consumer,British Columbia,Burnaby,In-Store,Credit Card,1149,Furniture,Chairs,Chairs Item 15,4,318.41,0.0,1273.65,700.51,573.14
ORDS8KOJHED,2023-12-09,2023-12-16,CYC48H8N,Corporate,Ontario,Ottawa,Wholesale,Debit,1117,Office Supplies,Art,Art Item 13,3,68.35,0.05,194.79,92.27,102.52
ORDYPQG3CED,2025-04-21,2025-04-27,COUQCURQ,Consumer,Ontario,Brampton,In-Store,Debit,1012,Technology,Phones,Phones Item 13,5,134.65,0.0,673.24,417.41,255.83
ORD0C13A5MW,2025-07-01,2025-07-05,CZY5R7YV,Consumer,British Columbia,Victoria,Wholesale,Debit,1107,Office Supplies,Art,Art Item 3,6,16.25,0.0,97.51,43.88,53.63
ORDJOHSROXO,2024-04-21,2024-04-24,CT2OEIBK,Corporate,Quebec,Longueuil,Online,Credit Card,1012,Technology,Phones,Phones Item 13,4,135.88,0.0,543.52,336.98,206.54
ORD4C0QPGQO,2025-06-01,2025-06-04,CRDFG2AD,Corporate,Ontario,Toronto,Online,Debit,1039,Technology,Computers,Computers Item 10,4,237.35,0.1,854.46,588.63,265.83
ORDZ8YYEKK0,2025-07-11,2025-07-17,CLC2KYMJ,Consumer,Ontario,Hamilton,Online,Credit Card,1127,Office Supplies,Labels,Labels Item 8,5,31.87,0.0,159.36,71.71,87.65
ORDZ0G6NJXD,2024-02-29,2024-03-03,C7T7T7WE,Consumer,Quebec,Longueuil,In-Store,Debit,1137,Furniture,Chairs,Chairs Item 3,4,115.7,0.0,462.78,254.53,208.25
ORDLVGXMV2F,2025-09-11,2025-09-15,C3KJKEQT,Consumer,Quebec,Montreal,Online,PayPal,1004,Technology,Phones,Phones Item 5,6,600.24,0.05,3421.35,2232.88,1188.47
ORDMDRVJVTT,2023-11-13,2023-11-13,CGN0YB6F,Corporate,Quebec,Montreal,Online,Credit Card,1101,Office Supplies,Storage,Storage Item 12,4,46.81,0.15,159.14,84.25,74.89
ORDHN182HVE,2023-09-20,2023-09-22,CBZVJBIM,Consumer,Quebec,Quebec City,Wholesale,PayPal,1035,Technology,Computers,Computers Item 6,1,613.38,0.1,552.05,380.3,171.75
ORDKEUVQ4QN,2025-01-18,2025-01-20,C3JKAOHS,Consumer,Ontario,Mississauga,In-Store,PayPal,1040,Technology,Computers,Computers Item 11,2,317.72,0.05,603.67,393.97,209.7
ORD45T2XDFO,2024-11-28,2024-12-01,CDM8RAYG,Consumer,Saskatchewan,Regina,Online,Gift Card,1004,Technology,Phones,Phones Item 5,3,667.18,0.0,2001.53,1240.95,760.58
ORD4VB6YPW2,2023-06-03,2023-06-07,CH1WH6GG,Corporate,British Columbia,Surrey,Online,Credit Card,1057,Technology,Copiers,Copiers Item 13,2,834.23,0.3,1167.92,1034.44,133.48
ORDN7VZ9V2C,2025-07-01,2025-07-06,CZICQGWQ,Corporate,Ontario,Mississauga,In-Store,PayPal,1022,Technology,Accessories,Accessories Item 8,4,181.76,0.1,654.33,450.76,203.57
ORDCSJLJDCI,2023-08-08,2023-08-11,COY43A4Y,Corporate,Quebec,Quebec City,In-Store,Credit Card,1054,Technology,Copiers,Copiers Item 10,6,86.05,0.0,516.31,320.11,196.2
ORDXXYAGG2X,2025-06-01,2025-06-02,C412UW00,Corporate,Quebec,Quebec City,In-Store,Credit Card,1057,Technology,Copiers,Copiers Item 13,4,726.8,0.0,2907.2,1802.46,1104.74
ORDLQPRYG3A,2023-01-09,2023-01-13,CZL7JS4T,Home Office,British Columbia,Victoria,Online,Debit,1118,Office Supplies,Art,Art Item 14,3,24.25,0.1,65.48,32.74,32.74
ORDSR2RI6DB,2025-05-23,2025-05-23,CA4BRPUB,Home Office,British Columbia,Vancouver,Online,Credit Card,1051,Technology,Copiers,Copiers Item 7,3,998.81,0.05,2846.6,1857.78,988.82
ORD6G1HPEPZ,2025-05-12,2025-05-18,C8LGZVRH,Consumer,British Columbia,Burnaby,Online,Credit Card,1003,Technology,Phones,Phones Item 4,4,332.32,0.05,1262.82,824.16,438.66
ORDLLJ44MVR,2025-05-05,2025-05-11,CQ5V3Z5F,Consumer,British Columbia,Richmond,In-Store,PayPal,1160,Furniture,Tables,Tables Item 11,5,561.69,0.0,2808.44,1544.64,1263.8
ORD2ZA6SCNZ,2024-12-29,2024-12-30,CUW3IRKV,Home Office,Ontario,Toronto,In-Store,Credit Card,1166,Furniture,Bookcases,Bookcases Item 2,2,94.08,0.25,141.12,103.49,37.63
ORDGAISPTMW,2024-05-31,2024-06-02,CZX8X6E0,Corporate,Ontario,Toronto,In-Store,Debit,1102,Office Supplies,Storage,Storage Item 13,3,119.14,0.0,357.41,160.84,196.57
ORDZUTIT4QP,2025-02-11,2025-02-11,CX5CQM0M,Home Office,Ontario,Windsor,Online,PayPal,1193,Furniture,Furnishings,Furnishings Item 14,4,164.05,0.0,656.21,360.92,295.29
ORDZWKR1SYP,2023-10-31,2023-11-02,CGTWZI59,Consumer,Quebec,Quebec City,Online,Credit Card,1055,Technology,Copiers,Copiers Item 11,6,558.61,0.0,3351.68,2078.04,1273.64
ORD6B6P3841,2025-05-05,2025-05-05,C2S0BYRU,Home Office,Quebec,Quebec City,In-Store,Gift Card,1072,Office Supplies,Paper,Paper Item 13,6,101.66,0.15,518.46,274.48,243.98
ORDAZUENPI1,2024-08-31,2024-09-07,CEPXSAOY,Consumer,Alberta,Edmonton,In-Store,Bank Transfer,1120,Office Supplies,Labels,Labels Item 1,1,101.98,0.2,81.58,45.89,35.69
ORDTBQEUNS0,2024-05-17,2024-05-18,CAND5DJQ,Corporate,Ontario,Toronto,Online,Credit Card,1128,Office Supplies,Labels,Labels Item 9,5,17.9,0.0,89.49,40.27,49.22
ORDOHMNHLOT,2024-07-08,2024-07-13,CTJSVP0R,Consumer,British Columbia,Vancouver,In-Store,Credit Card,1020,Technology,Accessories,Accessories Item 6,1,804.81,0.0,804.81,498.98,305.83
ORDZST0LHD1,2024-09-15,2024-09-19,CUJZ777M,Consumer,Ontario,Toronto,Online,Credit Card,1008,Technology,Phones,Phones Item 9,5,514.09,0.1,2313.39,1593.67,719.72
ORDK55BGOFG,2023-02-10,2023-02-11,CM0J8AVF,Consumer,Quebec,Laval,In-Store,Gift Card,1087,Office Supplies,Binders,Binders Item 13,4,87.27,0.15,296.71,157.08,139.63
ORDPRR1KSHF,2023-06-03,2023-06-09,C9IB1HP8,Consumer,Alberta,Edmonton,In-Store,Credit Card,1056,Technology,Copiers,Copiers Item 12,6,712.29,0.1,3846.35,2649.71,1196.64
ORDVE62HA38,2023-09-27,2023-09-27,CDJ0ESCP,Consumer,Ontario,Mississauga,Online,Credit Card,1149,Furniture,Chairs,Chairs Item 15,2,330.06,0.0,660.11,363.06,297.05
ORD2BRIJNP0,2023-05-06,2023-05-13,CMOPIZSG,Home Office,Ontario,Windsor,In-Store,Debit,1050,Technology,Copiers,Copiers Item 6,6,1105.56,0.0,6633.38,4112.7,2520.68
ORDO4PFUXLK,2024-04-26,2024-05-01,CNPRS387,Home Office,Quebec,Quebec City,Online,Debit,1079,Office Supplies,Binders,Binders Item 5,6,35.32,0.1,190.72,95.36,95.36
ORD86FV6I9G,2025-01-02,2025-01-07,CTWSA7E2,Home Office,Alberta,Calgary,Online,Debit,1132,Office Supplies,Labels,Labels Item 13,5,92.47,0.0,462.35,208.06,254.29
ORD28B50OZG,2024-12-18,2024-12-25,C4Q9T378,Home Office,Ontario,Toronto,Wholesale,Credit Card,1165,Furniture,Bookcases,Bookcases Item 1,3,856.45,0.0,2569.35,1413.14,1156.21
ORD81JIT4H8,2024-05-31,2024-06-03,CGQXI9N2,Corporate,New Brunswick,Fredericton,In-Store,Debit,1022,Technology,Accessories,Accessories Item 8,5,174.49,0.05,828.83,540.92,287.91
ORDXTBVADFU,2025-07-26,2025-07-28,CK7QFKME,Home Office,Prince Edward Island,Summerside,Online,Debit,1114,Office Supplies,Art,Art Item 10,5,33.31,0.0,166.57,74.96,91.61
ORD1SEVL0IP,2024-09-11,2024-09-12,CZ1DLWR8,Consumer,Manitoba,Winnipeg,In-Store,Debit,1127,Office Supplies,Labels,Labels Item 8,6,33.42,0.2,160.42,90.24,70.18
ORD1MLHQGY4,2023-03-28,2023-04-04,CPOA2XFD,Consumer,Ontario,Ottawa,Online,Debit,1019,Technology,Accessories,Accessories Item 5,2,838.83,0.05,1593.78,1040.15,553.63
ORDWEOD8ZEY,2025-04-18,2025-04-21,CRHU0BBT,Home Office,British Columbia,Surrey,In-Store,Credit Card,1075,Office Supplies,Binders,Binders Item 1,2,85.16,0.1,153.29,76.65,76.64
ORD134C8N5L,2024-09-21,2024-09-27,C10A7HNZ,Consumer,Ontario,Brampton,Online,Credit Card,1038,Technology,Computers,Computers Item 9,3,458.37,0.3,962.58,852.57,110.01
ORDMGYFD7ZE,2024-11-26,2024-11-28,CU98O0G0,Corporate,Saskatchewan,Regina,Online,Credit Card,1141,Furniture,Chairs,Chairs Item 7,4,175.78,0.0,703.12,386.72,316.4
ORD8TABK7BC,2024-09-11,2024-09-18,CHUPHFQD,Consumer,Quebec,Gatineau,Online,Credit Card,1179,Furniture,Bookcases,Bookcases Item 15,6,949.82,0.15,4844.06,3134.39,1709.67
ORDKDCDM3NX,2024-08-29,2024-09-04,CJRINTZP,Consumer,Ontario,London,In-Store,Credit Card,1029,Technology,Accessories,Accessories Item 15,2,597.06,0.0,1194.12,740.35,453.77
ORDS8ZF6H6P,2023-04-10,2023-04-12,C3UB42AY,Consumer,Ontario,Toronto,In-Store,Credit Card,1075,Office Supplies,Binders,Binders Item 1,2,77.95,0.25,116.93,70.16,46.77
